0,1,2,3,4,5,6,7,8,9,10
tropical fruit,misc. beverages,,,,,,,,,
pork,cat food,,,,,,,,,
citrus fruit,soap,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
yogurt,red/blush wine,,,,,,,,,
potato products,specialty bar,,,,,,,,,
whole milk,canned beer,,,,,,,,,
butter,ice cream,,,,,,,,,
meat,coffee,,,,,,,,,
dishes,dessert,,,,,,,,,
coffee,napkins,,,,,,,,,
meat,citrus fruit,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
whole milk,beef,,,,,,,,,
beef,napkins,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,candy,,,,,,,,,
frankfurter,pork,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
ham,yogurt,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
white wine,fruit/vegetable juice,,,,,,,,,
whole milk,chicken,,,,,,,,,
rolls/buns,red/blush wine,canned beer,,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
chicken,herbs,frozen meals,,,,,,,,
other vegetables,oil,,,,,,,,,
beef,sausage,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
butter,rolls/buns,,,,,,,,,
margarine,house keeping products,whole milk,canned beer,,,,,,,
pip fruit,hygiene articles,domestic eggs,hard cheese,,,,,,,
beef,curd,,,,,,,,,
whole milk,cake bar,,,,,,,,,
sausage,packaged fruit/vegetables,misc. beverages,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
coffee,chicken,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
soda,curd,,,,,,,,,
soda,chewing gum,,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
newspapers,fruit/vegetable juice,waffles,,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
ham,white wine,pasta,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
pip fruit,cereals,,,,,,,,,
canned fish,yogurt,napkins,,,,,,,,
soda,butter,,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
misc. beverages,red/blush wine,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
sweet spreads,coffee,,,,,,,,,
soda,ice cream,,,,,,,,,
ham,rolls/buns,,,,,,,,,
yogurt,pastry,kitchen towels,,,,,,,,
yogurt,margarine,,,,,,,,,
chicken,pip fruit,,,,,,,,,
pastry,white bread,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
chewing gum,softener,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
meat spreads,butter,,,,,,,,,
white bread,bottled water,,,,,,,,,
whipped/sour cream,roll products ,,,,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
canned beer,grapes,bottled beer,yogurt,,,,,,,
soda,whole milk,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
soda,sugar,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
bottled beer,butter milk,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
tropical fruit,soda,,,,,,,,,
mustard,whole milk,tropical fruit,whole milk,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
butter,margarine,,,,,,,,,
finished products,other vegetables,,,,,,,,,
root vegetables,cream,,,,,,,,,
salty snack,tropical fruit,bottled beer,rolls/buns,chocolate,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
pork,spread cheese,,,,,,,,,
vinegar,dog food,,,,,,,,,
pip fruit,candles,,,,,,,,,
bottled water,herbs,,,,,,,,,
soda,flour,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
turkey,other vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
margarine,bottled beer,,,,,,,,,
domestic eggs,specialty fat,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
beef,beef,,,,,,,,,
napkins,sugar,,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
citrus fruit,bottled beer,ice cream,,,,,,,,
sausage,sugar,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
onions,canned beer,,,,,,,,,
shopping bags,napkins,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
beef,other vegetables,,,,,,,,,
margarine,specialty bar,,,,,,,,,
cream cheese ,shopping bags,shopping bags,,,,,,,,
whole milk,pip fruit,,,,,,,,,
beverages,shopping bags,,,,,,,,,
shopping bags,soap,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,sugar,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
grapes,sparkling wine,canned beer,pastry,,,,,,,
white bread,whole milk,white bread,whole milk,newspapers,rolls/buns,canned beer,whole milk,,,
mayonnaise,curd,,,,,,,,,
pet care,whole milk,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
frankfurter,ham,tropical fruit,misc. beverages,tropical fruit,photo/film,specialty chocolate,frozen fish,,,
frozen vegetables,soft cheese,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
meat,shopping bags,,,,,,,,,
bottled water,ham,brown bread,yogurt,,,,,,,
pork,whole milk,domestic eggs,sweet spreads,,,,,,,
tropical fruit,butter milk,,,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
whole milk,margarine,,,,,,,,,
waffles,spread cheese,,,,,,,,,
rice,margarine,,,,,,,,,
canned beer,brown bread,herbs,pastry,,,,,,,
yogurt,other vegetables,white wine,frozen vegetables,,,,,,,
whole milk,root vegetables,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
specialty chocolate,whipped/sour cream,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
other vegetables,curd,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
sausage,yogurt,,,,,,,,,
pip fruit,pastry,,,,,,,,,
chicken,margarine,yogurt,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
meat,specialty cheese,,,,,,,,,
cat food,roll products ,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
pastry,other vegetables,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
bottled water,tidbits,,,,,,,,,
pork,cake bar,,,,,,,,,
frozen fish,baking powder,,,,,,,,,
newspapers,other vegetables,yogurt,,,,,,,,
sausage,canned beer,,,,,,,,,
sausage,canned beer,,,,,,,,,
pastry,onions,,,,,,,,,
frozen meals,rolls/buns,tropical fruit,curd,,,,,,,
canned fish,salty snack,,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
dessert,shopping bags,,,,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
soda,whole milk,,,,,,,,,
coffee,soft cheese,,,,,,,,,
sausage,beef,white wine,other vegetables,,,,,,,
hard cheese,soda,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
butter,candy,candy,,,,,,,,
whole milk,root vegetables,,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
berries,pork,whole milk,frozen vegetables,domestic eggs,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
domestic eggs,curd,,,,,,,,,
sliced cheese,cat food,,,,,,,,,
margarine,liquor,,,,,,,,,
bottled water,frozen chicken,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
tropical fruit,curd,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
shopping bags,newspapers,,,,,,,,,
misc. beverages,yogurt,oil,,,,,,,,
beef,canned beer,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
white bread,pickled vegetables,,,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
cream cheese ,dessert,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
chicken,napkins,soda,,,,,,,,
sausage,whole milk,detergent,rolls/buns,,,,,,,
yogurt,citrus fruit,pastry,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
rolls/buns,sugar,,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
citrus fruit,whole milk,white bread,cat food,brown bread,bottled beer,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,whole milk,margarine,,,,,,,,
sausage,tropical fruit,,,,,,,,,
other vegetables,semi-finished bread,domestic eggs,newspapers,,,,,,,
beef,yogurt,,,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
shopping bags,white wine,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
beef,whole milk,,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
UHT-milk,brown bread,whole milk,ice cream,,,,,,,
brown bread,whole milk,,,,,,,,,
chewing gum,butter,,,,,,,,,
margarine,shopping bags,,,,,,,,,
berries,curd,,,,,,,,,
whole milk,brown bread,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
whole milk,oil,,,,,,,,,
beverages,rice,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
beef,whole milk,frozen meals,,,,,,,,
salt,canned beer,roll products ,,,,,,,,
margarine,margarine,,,,,,,,,
ice cream,napkins,,,,,,,,,
meat,frozen potato products,,,,,,,,,
other vegetables,pork,herbs,oil,,,,,,,
bottled water,brown bread,,,,,,,,,
whole milk,curd,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
pastry,long life bakery product,,,,,,,,,
beef,salt,,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
canned beer,sliced cheese,long life bakery product,pasta,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
bottled beer,grapes,candy,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
tropical fruit,cocoa drinks,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
pork,yogurt,whole milk,,,,,,,,
sausage,specialty chocolate,bottled water,baking powder,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
other vegetables,specialty bar,,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
bottled water,yogurt,seasonal products,,,,,,,,
chicken,curd,,,,,,,,,
frozen potato products,detergent,,,,,,,,,
sausage,margarine,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
UHT-milk,soda,salty snack,,,,,,,,
canned beer,photo/film,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
spread cheese,soda,,,,,,,,,
fish,soda,bottled beer,bottled beer,,,,,,,
soft cheese,white wine,,,,,,,,,
whole milk,root vegetables,newspapers,,,,,,,,
sausage,spread cheese,,,,,,,,,
sausage,sausage,frozen fish,house keeping products,,,,,,,
candy,domestic eggs,,,,,,,,,
sausage,cat food,,,,,,,,,
long life bakery product,UHT-milk,whole milk,,,,,,,,
oil,fruit/vegetable juice,domestic eggs,,,,,,,,
other vegetables,potato products,napkins,,,,,,,,
whole milk,ham,,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
pork,packaged fruit/vegetables,chocolate,,,,,,,,
shopping bags,snack products,,,,,,,,,
soda,coffee,salty snack,,,,,,,,
yogurt,butter,whole milk,,,,,,,,
soda,brown bread,,,,,,,,,
canned beer,pork,,,,,,,,,
pickled vegetables,cling film/bags,,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
cocoa drinks,sliced cheese,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
pot plants,misc. beverages,baking powder,,,,,,,,
brandy,soap,chewing gum,,,,,,,,
ham,grapes,,,,,,,,,
pork,packaged fruit/vegetables,pastry,rolls/buns,,,,,,,
whole milk,margarine,,,,,,,,,
pork,white bread,domestic eggs,,,,,,,,
canned beer,brown bread,,,,,,,,,
beef,frankfurter,chewing gum,margarine,chewing gum,detergent,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
frozen meals,butter,whole milk,brandy,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
other vegetables,pot plants,,,,,,,,,
salt,citrus fruit,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
frozen meals,jam,,,,,,,,,
sausage,curd,bottled water,frozen meals,,,,,,,
pastry,frozen fish,,,,,,,,,
root vegetables,soda,coffee,,,,,,,,
sausage,pastry,,,,,,,,,
canned beer,newspapers,,,,,,,,,
UHT-milk,berries,shopping bags,,,,,,,,
onions,sugar,mustard,rolls/buns,,,,,,,
meat,rolls/buns,,,,,,,,,
softener,soda,,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
other vegetables,cat food,,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,flour,,,,,,,,,
dessert,herbs,waffles,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
bottled water,chocolate,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
dessert,pot plants,,,,,,,,,
canned fish,canned fish,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
sausage,house keeping products,,,,,,,,,
pet care,bottled water,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
candy,frozen vegetables,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
pip fruit,berries,,,,,,,,,
bottled beer,soda,,,,,,,,,
white wine,beverages,,,,,,,,,
tropical fruit,white wine,curd,grapes,,,,,,,
root vegetables,bottled beer,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
pet care,rolls/buns,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
whole milk,beverages,frozen fruits,fruit/vegetable juice,,,,,,,
yogurt,hygiene articles,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
sausage,white wine,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
ham,curd cheese,,,,,,,,,
brown bread,bottled water,domestic eggs,,,,,,,,
butter,butter,margarine,,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
frankfurter,bottled water,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
coffee,bottled water,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
whole milk,dessert,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
processed cheese,chocolate,chocolate,yogurt,,,,,,,
frankfurter,dessert,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
tidbits,whole milk,frozen vegetables,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
canned beer,bottled water,,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
whole milk,tropical fruit,rolls/buns,soap,,,,,,,
whole milk,flower (seeds),,,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
root vegetables,sausage,hamburger meat,rum,house keeping products,,,,,,
salty snack,condensed milk,,,,,,,,,
coffee,other vegetables,candy,whole milk,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
sausage,yogurt,,,,,,,,,
pip fruit,margarine,,,,,,,,,
herbs,margarine,rolls/buns,chocolate,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
canned beer,frozen fish,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
frozen fish,bottled beer,,,,,,,,,
canned beer,bottled water,long life bakery product,,,,,,,,
yogurt,pasta,,,,,,,,,
curd,curd,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
zwieback,tropical fruit,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
other vegetables,coffee,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
cake bar,whole milk,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
sausage,tropical fruit,,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
UHT-milk,brown bread,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
bottled water,herbs,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,grapes,sugar,,,,,,,,
sliced cheese,yogurt,,,,,,,,,
salt,frozen vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
whole milk,butter,,,,,,,,,
shopping bags,red/blush wine,butter,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
brown bread,frozen meals,cat food,white bread,,,,,,,
beef,margarine,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
berries,fruit/vegetable juice,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
bottled water,pastry,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
berries,soda,oil,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pip fruit,pip fruit,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
whipped/sour cream,specialty bar,,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
napkins,cleaner,,,,,,,,,
rolls/buns,pork,,,,,,,,,
whole milk,brown bread,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
soda,frozen dessert,canned fish,,,,,,,,
other vegetables,baking powder,,,,,,,,,
pork,citrus fruit,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
fruit/vegetable juice,waffles,tropical fruit,domestic eggs,liquor (appetizer),dessert,,,,,
tropical fruit,flour,specialty chocolate,,,,,,,,
pork,margarine,,,,,,,,,
ham,coffee,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
other vegetables,dessert,other vegetables,fruit/vegetable juice,,,,,,,
whole milk,pork,other vegetables,domestic eggs,,,,,,,
finished products,whole milk,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
bags,other vegetables,,,,,,,,,
female sanitary products,salt,,,,,,,,,
other vegetables,white bread,,,,,,,,,
ham,canned beer,,,,,,,,,
bottled water,canned beer,,,,,,,,,
soda,candy,,,,,,,,,
candy,berries,mustard,,,,,,,,
brown bread,yogurt,,,,,,,,,
salty snack,yogurt,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
grapes,chocolate marshmallow,dishes,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
white bread,frozen vegetables,soda,,,,,,,,
other vegetables,whole milk,UHT-milk,other vegetables,frozen meals,whole milk,salty snack,,,,
tropical fruit,sparkling wine,cat food,,,,,,,,
sausage,pip fruit,,,,,,,,,
sausage,curd,margarine,,,,,,,,
onions,ice cream,,,,,,,,,
whole milk,dishes,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,processed cheese,curd,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
frozen fish,domestic eggs,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
beef,sausage,pet care,yogurt,newspapers,soda,,,,,
whole milk,coffee,bottled beer,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
frozen dessert,misc. beverages,,,,,,,,,
curd,soda,,,,,,,,,
coffee,root vegetables,bottled beer,,,,,,,,
tropical fruit,butter milk,shopping bags,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
ham,liquor (appetizer),,,,,,,,,
coffee,other vegetables,,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
canned beer,frankfurter,brown bread,pip fruit,frozen vegetables,pudding powder,,,,,
chicken,domestic eggs,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
mustard,brown bread,,,,,,,,,
meat,herbs,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
liquor,sweet spreads,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
white wine,dishes,,,,,,,,,
canned beer,butter,butter milk,citrus fruit,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
mustard,zwieback,,,,,,,,,
sausage,yogurt,pastry,,,,,,,,
sausage,beverages,,,,,,,,,
whole milk,herbs,,,,,,,,,
root vegetables,liver loaf,white bread,domestic eggs,cream cheese ,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
beef,cream cheese ,,,,,,,,,
candy,candy,,,,,,,,,
whole milk,pastry,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
oil,flour,,,,,,,,,
cat food,whole milk,whole milk,,,,,,,,
